Team 1,Team 2,Ground,Dates,Winner,Toss
RCB,KKR,Kolkata,3/14/10,KKR,KKR
DC,CSK,Chennai,3/14/10,DC,DC
RR,DD,Ahmedabad,3/15/10,DD,DD
KXIP,RCB,Bangalore,3/16/10,RCB,KXIP
CSK,KKR,Kolkata,3/16/10,CSK,CSK
MI,DD,Delhi,3/17/10,MI,DD
RR,RCB,Bangalore,3/18/10,RCB,RCB
DD,CSK,Delhi,3/19/10,CSK,DD
DC,KXIP,Cuttack,3/19/10,DC,KXIP
RR,KKR,Ahmedabad,3/20/10,RR,RR
MI,RCB,Mumbai,3/20/10,RCB,MI
DC,DD,Cuttack,3/21/10,DD,DD
KXIP,CSK,Chennai,3/21/10,KXIP,CSK
KKR,MI,Mumbai,3/22/10,MI,KKR
RCB,CSK,Bangalore,3/23/10,RCB,CSK
RR,KXIP,Mohali,3/24/10,RR,KXIP
DD,RCB,Bangalore,3/25/10,DD,RCB
CSK,MI,Mumbai,3/25/10,MI,MI
DC,RR,Ahmedabad,3/26/10,RR,DC
KKR,KXIP,Mohali,3/27/10,KKR,KKR
RR,CSK,Ahmedabad,3/28/10,RR,RR
MI,DC,Mumbai,3/28/10,MI,DC
DD,KKR,Delhi,3/29/10,DD,DD
KXIP,MI,Mumbai,3/30/10,MI,MI
RCB,CSK,Chennai,3/31/10,CSK,RCB
DD,RR,Delhi,3/31/10,DD,DD
KKR,DC,Kolkata,4/1/10,KKR,KKR
KXIP,RCB,Mohali,4/2/10,RCB,KXIP
CSK,RR,Chennai,4/3/10,CSK,CSK
MI,DC,Mumbai,4/3/10,MI,MI
KKR,KXIP,Kolkata,4/4/10,KXIP,KKR
DD,RCB,Delhi,4/4/10,DD,DD
RR,DC,Nagpur,4/5/10,RR,RR
CSK,MI,Chennai,4/6/10,CSK,CSK
KXIP,RR,Jaipur,4/7/10,RR,KXIP
KKR,DD,Kolkata,4/7/10,KKR,KKR
RCB,DC,Bangalore,4/8/10,DC,DC
MI,KXIP,Mohali,4/9/10,KXIP,MI
CSK,DC,Nagpur,4/10/10,DC,CSK
KKR,RCB,Bangalore,4/10/10,RCB,RCB
DD,KXIP,Delhi,4/11/10,DD,DD
MI,RR,Jaipur,4/11/10,MI,RR
DC,RCB,Nagpur,4/12/10,DC,RCB
MI,DD,Mumbai,4/13/10,MI,MI
KKR,CSK,Chennai,4/13/10,CSK,KKR
RR,RCB,Jaipur,4/14/10,RCB,RR
